"Binomial","Genus","Species","FBname","SpecCode","SpeciesRefNo","LongevityWild","LongevityCaptive","Length","LTypeMaxM","LengthFemale","LTypeMaxF","CommonLength","LTypeComM","CommonLengthF","LTypeComF","Weight","WeightFemale","MaxWeightRef","Median_T","lcl_T","ucl_T","n_T","Herbivory2","DietTroph","DietSeTroph","DietRemark","DietRef","FoodTroph","FoodSeTroph","FoodRemark","FoodRef","Troph","seTroph","TrophObserved","MaxLength_TLonly","TrophCategorical"
"Acanthocybium_solandri","Acanthocybium","solandri","Wahoo","89",168,NA,NA,250,"TL",NA,NA,"170","FL",NA,NA,83000,NA,168,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",4.26,0.198,"Troph of juv./adults from 6 studies.","48488",4.42000007629395,0.9249,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,4.26000022888184,0.197999998927116,TRUE,"250","carnivore"
"Acantholiparis_caecus","Acantholiparis","caecus",NA,"51500",26773,NA,NA,3.90000009536743,"SL","5.699999809265137","SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26999998092651,0.509999990463257,FALSE,NA,"carnivore"
"Acantholiparis_opercularis","Acantholiparis","opercularis","Spiny snailfish","25262",11980,NA,NA,6.90000009536743,"SL","7","SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.30999994277954,0.509999990463257,FALSE,"8.32712728565502","carnivore"
"Acantholumpenus_mackayi","Acantholumpenus","mackayi","Pighead prickleback","3771",3814,12,NA,70,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",3.13,0.17,"Troph of juv./adults from 1 study.","75088",3.28,0.36,"Trophic level estimated from a number of food items using a randomized resampling routine.","12671",3.13000011444092,0.170000001788139,TRUE,"76.6304004192352","carnivore"
"Acanthonus_armatus","Acanthonus","armatus","Bony-eared assfish","8943",3686,NA,NA,37.5,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.61999988555908,0.600000023841858,FALSE,NA,"carnivore"
"Acipenser_brevirostrum","Acipenser","brevirostrum","Shortnose sturgeon","2590",5723,67,7,143,"TL",NA,NA,"50","TL",NA,NA,23000,NA,6866,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.25,0.39,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.25,0.389999985694885,TRUE,"143","carnivore"
"Acipenser_fulvescens","Acipenser","fulvescens","Lake sturgeon","2591",5723,152,23.25,274,"TL",NA,NA,"97.5","TL",NA,NA,125000,NA,3672,49.9000015258789,NA,NA,2,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.27999997138977,0.49,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.27999997138977,0.490000009536743,TRUE,"274","carnivore"
"Acipenser_medirostris","Acipenser","medirostris","Green sturgeon","2592",5723,60,NA,270,"TL",NA,NA,"130","TL",NA,NA,159000,NA,2850,12.6000003814697,NA,NA,1,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","9668",3.52,0.52,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.51999998092651,0.519999980926514,TRUE,"270","carnivore"
"Acipenser_oxyrinchus","Acipenser","oxyrinchus","Atlantic sturgeon","2593",5723,60,5,403,"TL","430","TL",NA,NA,"250","TL",NA,368000,26938,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA, NA","NA, NA",3.325,0.515,"Trophic level estimated from a number of food items using a randomized resampling routine., Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.26999998092651,0.529999971389771,TRUE,"403","carnivore"
"Acipenser_transmontanus","Acipenser","transmontanus","White sturgeon","2594",5723,104,NA,610,"TL",NA,NA,"21","TL",NA,NA,816000,NA,27436,27.5,NA,NA,1,"mainly animals (troph. 2.8 and up)",3.25,0.131,"Troph of juv./adults from 8 studies.","9668",3.62,0.57,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.25,0.130999997258186,TRUE,"610","carnivore"
"Acrocheilus_alutaceus","Acrocheilus","alutaceus","Chiselmouth","2741",86798,NA,NA,30,"TL",NA,NA,"17.5","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"plants/detritus+animals (troph. 2.2-2.79)",2.13,0.031,"Troph of adults from 5 studies.","NA",2.4,0.21,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,2.13000011444092,0.0309999994933605,TRUE,"30","omnivore"
"Agonopsis_vulsa","Agonopsis","vulsa","Northern spearnose poacher","4152",2850,NA,NA,20,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.26999998092651,0.330000013113022,FALSE,"20","carnivore"
"Ahliesaurus_berryi","Ahliesaurus","berryi",NA,"9155",6552,NA,NA,26.8999996185303,"SL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3,0,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3,0,TRUE,NA,"carnivore"
"Aldrovandia_affinis","Aldrovandia","affinis","Gilbert's halosaurid fish","7502",4448,NA,NA,55,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.3,0.4,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.29999995231628,0.400000005960464,TRUE,"55","carnivore"
"Aldrovandia_gracilis","Aldrovandia","gracilis",NA,"9009",4448,NA,NA,55,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.32,0.4,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.3199999332428,0.400000005960464,TRUE,"55","carnivore"
"Aldrovandia_oleosa","Aldrovandia","oleosa",NA,"9011",4448,NA,NA,52,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.061,0.26,"Tentative trophic level derived from 1 + troph of a single food item","12671",3.06100010871887,0.259999990463257,TRUE,"52","carnivore"
"Aldrovandia_phalacra","Aldrovandia","phalacra","Hawaiian halosaurid fish","9012",4448,NA,NA,50,"TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.17,0.34,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.17000007629395,0.340000003576279,TRUE,"50","carnivore"
"Alepisaurus_brevirostris","Alepisaurus","brevirostris","Short snouted lancetfish","2728",4476,NA,NA,96,"TL",NA,NA,"70","TL",NA,NA,NA,NA,NA,NA,NA,NA,NA,"mainly animals (troph. 2.8 and up)",NA,NA,"NA","NA",3.81,0.61,"Trophic level estimated from a number of food items using a randomized resampling routine.",NA,3.80999994277954,0.610000014305115,TRUE,"96","carnivore"
